TIMESTAMP: 21.500000, X: 24.365850, Y: 11.663885, Z: -10.622108, PITCH: 0.780920, YAW: 2.362990
TIMESTAMP: 21.600000, X: 24.503127, Y: 11.731184, Z: -10.703803, PITCH: 0.786249, YAW: 2.365590
TIMESTAMP: 21.700000, X: 24.639957, Y: 11.795452, Z: -10.781938, PITCH: 0.791626, YAW: 2.368223
TIMESTAMP: 21.800000, X: 24.776371, Y: 11.856513, Z: -10.856215, PITCH: 0.796977, YAW: 2.370846
TIMESTAMP: 21.900000, X: 24.912402, Y: 11.914193, Z: -10.926350, PITCH: 0.802334, YAW: 2.373457
TIMESTAMP: 22.000000, X: 25.048084, Y: 11.968327, Z: -10.992073, PITCH: 0.807720, YAW: 2.376075
TIMESTAMP: 22.100000, X: 25.183453, Y: 12.018754, Z: -11.053136, PITCH: 0.813043, YAW: 2.378691
TIMESTAMP: 22.200000, X: 25.318547, Y: 12.065320, Z: -11.109306, PITCH: 0.818322, YAW: 2.381298
TIMESTAMP: 22.300000, X: 25.453406, Y: 12.107885, Z: -11.160378, PITCH: 0.823747, YAW: 2.383924
TIMESTAMP: 22.400000, X: 25.588075, Y: 12.146313, Z: -11.206167, PITCH: 0.829250, YAW: 2.386563
